[2020-04-02 18:12:53,617]-ERROR: test_01__ home_open埋点异常 line39
[2020-04-02 18:13:04,234]-ERROR: test_01__ device_opened埋点异常 line57
[2020-04-02 18:13:07,193]-ERROR: test_01__ is_open_push埋点异常 line89
[2020-04-02 18:13:08,579]-ERROR: test_01__ urban_geographical_location埋点异常 line104
[2020-04-02 18:14:42,233]-ERROR: test_01__ page_view埋点异常 line44
[2020-04-02 18:18:43,426]-ERROR: test_01__ 美购首页page_view埋点异常 line49
[2020-04-02 18:20:52,181]-ERROR: test_01__ welfare_home_click_section埋点异常 line41
[2020-04-02 18:20:52,253]-ERROR: test_01__ 美购品类聚合page_view埋点异常 line58
[2020-04-02 18:25:45,571]-ERROR: test_01__ 搜索search_result_open埋点异常 line48
[2020-04-02 18:25:45,662]-ERROR: test_01__ 搜索do_search埋点异常 line58
[2020-04-02 18:28:44,693]-ERROR: testbuild__ 搜索search_result_open埋点异常 line46
[2020-04-02 18:28:44,791]-ERROR: testbuild__ 搜索do_search埋点异常 line56
[2020-04-02 18:32:13,656]-ERROR: test_01__ 搜索search_result_open埋点异常 line45
[2020-04-02 18:32:13,728]-ERROR: test_01__ 搜索do_search埋点异常 line55
[2020-04-02 18:35:15,765]-ERROR: test_01__ 搜索search_result_open埋点异常 line45
[2020-04-02 18:35:15,919]-ERROR: test_01__ 搜索do_search埋点异常 line55
[2020-04-02 18:41:10,859]-ERROR: test_01__ 搜索search_result_open埋点异常 line49
[2020-04-02 18:41:10,957]-ERROR: test_01__ 搜索do_search埋点异常 line59
