[2020-02-21 16:25:26,066]-ERROR: test_01__ page_view埋点异常 line49
[2020-02-21 16:27:22,236]-INFO: test_01__ page_view埋点正常 line50
[2020-02-21 16:28:40,487]-ERROR: test_01__ home_open埋点异常 line39
[2020-02-21 16:28:40,924]-ERROR: test_01__ device_opened埋点异常 line57
[2020-02-21 16:28:40,936]-ERROR: test_01__ app_serial_id不存在！ line78
[2020-02-21 16:28:41,144]-ERROR: test_01__ is_open_push埋点异常 line89
[2020-02-21 16:28:41,156]-ERROR: test_01__ android_device_id不存在！ line96
[2020-02-21 16:28:41,333]-ERROR: test_01__ urban_geographical_location埋点异常 line104
[2020-02-21 16:29:47,345]-INFO: test_01__ page_view埋点正常 line46
[2020-02-21 16:32:03,871]-INFO: test_01__ 美购首页page_view埋点正常 line51
[2020-02-21 16:33:36,833]-ERROR: test_01__ welfare_home_click_section埋点异常 line41
[2020-02-21 16:33:36,871]-ERROR: test_01__ 美购品类聚合page_view埋点异常 line58
[2020-02-21 16:35:27,593]-ERROR: test_01__ 搜索search_result_open埋点异常 line48
[2020-02-21 16:35:27,634]-ERROR: test_01__ 搜索do_search埋点异常 line58
[2020-02-21 16:37:08,290]-ERROR: testbuild__ 搜索search_result_open埋点异常 line46
[2020-02-21 16:37:08,336]-ERROR: testbuild__ 搜索do_search埋点异常 line56
[2020-02-21 16:38:46,620]-ERROR: test_01__ 搜索search_result_open埋点异常 line45
[2020-02-21 16:38:46,655]-ERROR: test_01__ 搜索do_search埋点异常 line55
[2020-02-21 16:40:26,399]-ERROR: test_01__ 搜索search_result_open埋点异常 line45
[2020-02-21 16:40:26,428]-ERROR: test_01__ 搜索do_search埋点异常 line55
[2020-02-21 16:43:11,874]-ERROR: test_01__ 搜索search_result_open埋点异常 line49
[2020-02-21 16:43:11,914]-ERROR: test_01__ 搜索do_search埋点异常 line59
[2020-02-21 22:02:05,781]-ERROR: test_01__ page_view埋点异常 line50
[2020-02-21 22:03:47,388]-INFO: test_01__ home_open埋点正常 line41
[2020-02-21 22:03:47,821]-INFO: test_01__ device_opened埋点正常 line59
[2020-02-21 22:03:48,056]-INFO: test_01__ is_open_push埋点正常 line91
[2020-02-21 22:03:48,066]-ERROR: test_01__ android_device_id不存在！ line96
[2020-02-21 22:03:48,269]-INFO: test_01__ urban_geographical_location埋点正常 line106
[2020-02-21 22:04:40,237]-INFO: test_01__ page_view埋点正常 line46
[2020-02-21 22:06:32,188]-INFO: test_01__ 美购首页page_view埋点正常 line51
[2020-02-21 22:07:48,283]-ERROR: test_01__ welfare_home_click_section埋点异常 line41
[2020-02-21 22:07:48,311]-ERROR: test_01__ 美购品类聚合page_view埋点异常 line58
[2020-02-21 22:09:27,196]-ERROR: test_01__ 搜索search_result_open埋点异常 line48
[2020-02-21 22:09:27,237]-ERROR: test_01__ 搜索do_search埋点异常 line58
[2020-02-21 22:10:58,313]-ERROR: testbuild__ 搜索search_result_open埋点异常 line46
[2020-02-21 22:10:58,343]-ERROR: testbuild__ 搜索do_search埋点异常 line56
[2020-02-21 22:12:27,430]-ERROR: test_01__ 搜索search_result_open埋点异常 line45
[2020-02-21 22:12:27,459]-ERROR: test_01__ 搜索do_search埋点异常 line55
[2020-02-21 22:13:54,108]-ERROR: test_01__ 搜索search_result_open埋点异常 line45
[2020-02-21 22:13:54,138]-ERROR: test_01__ 搜索do_search埋点异常 line55
[2020-02-21 22:14:38,106]-INFO: test_01__ page_view埋点正常 line52
[2020-02-21 22:16:07,015]-ERROR: test_01__ 搜索search_result_open埋点异常 line49
[2020-02-21 22:16:07,043]-ERROR: test_01__ 搜索do_search埋点异常 line59
