[2020-01-23 10:46:10,332]-ERROR: test_01__ page_view埋点异常 line49
[2020-01-23 10:47:50,196]-ERROR: test_01__ page_view埋点异常 line48
[2020-01-23 10:48:55,142]-ERROR: test_01__ home_open埋点异常 line39
[2020-01-23 10:48:55,514]-ERROR: test_01__ device_opened埋点异常 line57
[2020-01-23 10:48:55,724]-ERROR: test_01__ is_open_push埋点异常 line89
[2020-01-23 10:48:55,734]-ERROR: test_01__ android_device_id不存在！ line96
[2020-01-23 10:48:55,911]-ERROR: test_01__ urban_geographical_location埋点异常 line104
[2020-01-23 10:49:49,110]-ERROR: test_01__ page_view埋点异常 line44
[2020-01-23 10:51:42,840]-ERROR: test_01__ 美购首页page_view埋点异常 line49
[2020-01-23 10:53:14,143]-ERROR: test_01__ welfare_home_click_section埋点异常 line41
[2020-01-23 10:53:14,167]-ERROR: test_01__ 美购品类聚合page_view埋点异常 line58
[2020-01-23 10:54:57,336]-ERROR: test_01__ 搜索search_result_open埋点异常 line48
[2020-01-23 10:54:57,370]-ERROR: test_01__ 搜索do_search埋点异常 line58
[2020-01-23 10:56:36,483]-ERROR: testbuild__ 搜索search_result_open埋点异常 line46
[2020-01-23 10:56:36,511]-ERROR: testbuild__ 搜索do_search埋点异常 line56
[2020-01-23 10:58:05,637]-ERROR: test_01__ 搜索search_result_open埋点异常 line45
[2020-01-23 10:58:05,667]-ERROR: test_01__ 搜索do_search埋点异常 line55
[2020-01-23 10:59:30,635]-ERROR: test_01__ 搜索search_result_open埋点异常 line45
[2020-01-23 10:59:30,666]-ERROR: test_01__ 搜索do_search埋点异常 line55
