[2020-03-03 11:42:54,275]-ERROR: test_01__ home_open埋点异常 line39
[2020-03-03 11:42:55,881]-ERROR: test_01__ device_opened埋点异常 line57
[2020-03-03 11:42:56,454]-ERROR: test_01__ is_open_push埋点异常 line89
[2020-03-03 11:42:56,733]-ERROR: test_01__ urban_geographical_location埋点异常 line104
[2020-03-03 11:43:43,806]-ERROR: test_01__ page_view埋点异常 line44
[2020-03-03 11:45:16,392]-ERROR: test_01__ 美购首页page_view埋点异常 line49
[2020-03-03 11:46:17,051]-ERROR: test_01__ welfare_home_click_section埋点异常 line41
[2020-03-03 11:46:17,095]-ERROR: test_01__ 美购品类聚合page_view埋点异常 line58
[2020-03-03 11:47:44,110]-ERROR: test_01__ 搜索search_result_open埋点异常 line48
[2020-03-03 11:47:44,143]-ERROR: test_01__ 搜索do_search埋点异常 line58
[2020-03-03 11:48:58,572]-ERROR: testbuild__ 搜索search_result_open埋点异常 line46
[2020-03-03 11:48:58,608]-ERROR: testbuild__ 搜索do_search埋点异常 line56
[2020-03-03 11:51:05,920]-ERROR: test_01__ 搜索search_result_open埋点异常 line45
[2020-03-03 11:51:05,948]-ERROR: test_01__ 搜索do_search埋点异常 line55
[2020-03-03 11:52:37,611]-ERROR: test_01__ 搜索search_result_open埋点异常 line49
[2020-03-03 11:52:37,659]-ERROR: test_01__ 搜索do_search埋点异常 line59
